DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;Absorbance
DECIMALSYMBOL	 .
2243.8574	 0.0138
2245.7210	 0.0135
2247.5847	 0.0133
2249.4484	 0.0135
2251.3121	 0.0133
2253.1757	 0.0133
2255.0394	 0.0138
2256.9031	 0.0140
2258.7667	 0.0138
2260.6304	 0.0137
2262.4941	 0.0133
2264.3577	 0.0131
2266.2214	 0.0134
2268.0851	 0.0134
2269.9487	 0.0138
2271.8124	 0.0145
2273.6761	 0.0149
2275.5397	 0.0146
2277.4034	 0.0140
2279.2671	 0.0139
2281.1308	 0.0139
2282.9944	 0.0138
2284.8581	 0.0141
2286.7218	 0.0145
2288.5854	 0.0145
2290.4491	 0.0140
2292.3128	 0.0139
2294.1764	 0.0142
2296.0401	 0.0144
2297.9038	 0.0143
2299.7674	 0.0143
2301.6311	 0.0145
2303.4948	 0.0145
2305.3585	 0.0145
2307.2221	 0.0148
2309.0858	 0.0150
2310.9495	 0.0149
2312.8131	 0.0146
2314.6768	 0.0147
2316.5405	 0.0148
2318.4041	 0.0148
2320.2678	 0.0150
2322.1315	 0.0151
2323.9951	 0.0148
2325.8588	 0.0143
2327.7225	 0.0143
2329.5861	 0.0146
2331.4498	 0.0146
2333.3135	 0.0145
2335.1772	 0.0144
2337.0408	 0.0142
2338.9045	 0.0143
2340.7682	 0.0142
2342.6318	 0.0140
2344.4955	 0.0148
2346.3592	 0.0145
2348.2228	 0.0151
2350.0865	 0.0156
2351.9502	 0.0146
2353.8138	 0.0152
2355.6775	 0.0162
2357.5412	 0.0151
2359.4049	 0.0138
2361.2685	 0.0133
2363.1322	 0.0132
2364.9959	 0.0136
2366.8595	 0.0147
2368.7232	 0.0152
2370.5869	 0.0150
2372.4505	 0.0151
2374.3142	 0.0161
2376.1779	 0.0166
2378.0415	 0.0164
2379.9052	 0.0161
2381.7689	 0.0161
2383.6325	 0.0163
2385.4962	 0.0164
2387.3599	 0.0165
2389.2236	 0.0166
2391.0872	 0.0166
2392.9509	 0.0166
2394.8146	 0.0164
2396.6782	 0.0162
2398.5419	 0.0166
2400.4056	 0.0170
2402.2692	 0.0168
2404.1329	 0.0166
2405.9966	 0.0167
2407.8602	 0.0167
2409.7239	 0.0165
2411.5876	 0.0165
2413.4512	 0.0167
2415.3149	 0.0169
2417.1786	 0.0168
2419.0423	 0.0167
2420.9059	 0.0171
2422.7696	 0.0175
2424.6333	 0.0175
2426.4969	 0.0173
2428.3606	 0.0174
2430.2243	 0.0176
